Supplier_ID,Supplier_Name,Lead_Time_Days,Quality_Rating,Location,Material_Type,Product_ID,Product_Name,Quantity_Available,Reorder_Level,Warehouse_Location,Order_ID,Quantity_Ordered,Order_Date,Completion_Date,Status,Shipment_ID,Shipping_Date,Delivery_Date,Shipping_Cost,Delivery_Status,Sale_ID,Sale_Date,Quantity_Sold,Revenue,Region,Feedback_ID,Customer_Rating,Feedback_Date,Comments
SUP037,FastPackers,7,4.6,Tiruchirappalli,Packaging,INV037,Joint Pain Tablets,850,300,Tiruchirappalli,PO037,600,2024-03-28,2024-04-07,In Progress,SH037,2024-05-05,2024-05-07,$115,Delivered,SA037,2024-03-31,270,"$2,300",Tiruchirappalli,FB037,3.6,2024-04-02,"Average quality, delayed shipping."
SUP038,EssentialLog,8,4.9,Udaipur,Containers,INV038,Herbal Cough Syrup,1200,400,Udaipur,PO038,200,2024-03-30,2024-04-09,Scheduled,SH038,2024-05-08,2024-05-10,$125,In Transit,SA038,2024-04-02,220,"$1,900",Udaipur,FB038,4.4,2024-04-04,"Satisfied, quick delivery."
SUP039,PrimeChem,12,4.1,Aurangabad,Active Ingredients,INV039,Blood Pressure Tablets,900,350,Aurangabad,PO039,400,2024-04-02,2024-04-11,Completed,SH039,2024-05-11,2024-05-13,$95,Delivered,SA039,2024-04-04,310,"$2,800",Aurangabad,FB039,4,2024-04-06,"Decent product, slow shipping."
SUP040,PackPros,10,4.3,Salem,Packaging,INV040,Vitamin B Complex Syrup,700,250,Salem,PO040,500,2024-04-04,2024-04-13,In Progress,SH040,2024-05-14,2024-05-16,$110,Scheduled,SA040,2024-04-06,170,"$1,500",Salem,FB040,4.9,2024-04-08,"Excellent, best quality."
SUP041,ShipLogistics,9,4.7,Gorakhpur,Containers,INV041,Skin Moisturizer,1100,450,Gorakhpur,PO041,300,2024-04-06,2024-04-15,Scheduled,SH041,2024-05-17,2024-05-19,$100,In Transit,SA041,2024-04-08,290,"$2,600",Gorakhpur,FB041,4.3,2024-04-10,"Good quality, fast service."
SUP042,ChemWarehouse,16,4.2,Mangalore,Raw Materials,INV042,Asthma Inhaler,1000,400,Mangalore,PO042,700,2024-04-08,2024-04-17,Completed,SH042,2024-05-20,2024-05-22,$120,Delivered,SA042,2024-04-10,200,"$1,700",Mangalore,FB042,4.1,2024-04-12,Met expectations.
SUP043,PharmaDirect,13,4.4,Siliguri,Active Ingredients,INV043,Antibacterial Soap,800,300,Siliguri,PO043,600,2024-04-10,2024-04-19,In Progress,SH043,2024-05-23,2024-05-25,$130,In Transit,SA043,2024-04-12,320,"$2,700",Siliguri,FB043,4.8,2024-04-14,Outstanding product.
SUP044,PackMasters,10,4.3,Warangal,Packaging,INV044,Blood Sugar Tablets,900,350,Warangal,PO044,200,2024-04-12,2024-04-21,Scheduled,SH044,2024-05-26,2024-05-28,$90,Delivered,SA044,2024-04-14,240,"$2,100",Warangal,FB044,3.7,2024-04-16,"Product was okay, late arrival."
SUP045,RapidShip,7,4.8,Guntur,Containers,INV045,Vitamin A Drops,1200,500,Guntur,PO045,400,2024-04-14,2024-04-23,Completed,SH045,2024-05-29,2024-05-31,$115,Scheduled,SA045,2024-04-16,300,"$2,500",Guntur,FB045,4.5,2024-04-18,"Quality product, quick service."
SUP046,ChemElite,14,4.5,Bareilly,Active Ingredients,INV046,Herbal Shampoo,1300,450,Bareilly,PO046,500,2024-04-16,2024-04-25,In Progress,SH046,2024-06-01,2024-06-03,$105,In Transit,SA046,2024-04-18,270,"$2,300",Bareilly,FB046,4.2,2024-04-20,Satisfied with purchase.
SUP047,EssentialLogi,10,4.7,Aligarh,Raw Materials,INV047,Cold Balm,800,300,Aligarh,PO047,300,2024-04-18,2024-04-27,Scheduled,SH047,2024-06-04,2024-06-06,$120,Delivered,SA047,2024-04-20,180,"$1,400",Aligarh,FB047,3.9,2024-04-22,"Product quality fine, late arrival."
SUP048,QuickContainer,9,4.9,Moradabad,Containers,INV048,Kids Multivitamin Gummies,900,350,Moradabad,PO048,700,2024-04-20,2024-04-29,Completed,SH048,2024-06-07,2024-06-09,$95,In Transit,SA048,2024-04-22,210,"$1,800",Moradabad,FB048,4.6,2024-04-24,Effective and well-packaged.
SUP049,HealthEssentials,11,4.1,Thiruvananthapuram,Active Ingredients,INV049,Calcium Syrup,1100,450,Thiruvananthapuram,PO049,600,2024-04-22,2024-05-01,In Progress,SH049,2024-06-10,2024-06-12,$110,Scheduled,SA049,2024-04-24,290,"$2,500",Thiruvananthapuram,FB049,4.5,2024-04-26,Exceeded expectations.
SUP050,QualitySupply,12,4.5,Jalandhar,Packaging,INV050,Protein Powder,1000,400,Jalandhar,PO050,200,2024-04-24,2024-05-03,Scheduled,SH050,2024-06-13,2024-06-15,$100,Delivered,SA050,2024-04-26,250,"$2,200",Jalandhar,FB050,4,2024-04-28,"Satisfied, delivery could improve."
